Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ230498,04/18/2016 04:32:00 AM,005XX W 28TH ST,CRIMINAL TRESPASS,41.843584751,-87.640448357
HZ175402,03/03/2016 09:00:00 AM,014XX E 68TH ST,MOTOR VEHICLE THEFT,41.771482583,-87.589264627
HZ174329,03/04/2016 01:00:00 PM,068XX S CRANDON AVE,CRIMINAL DAMAGE,41.770776481,-87.569898823
HZ174461,03/04/2016 03:00:00 PM,031XX S LAKE SHORE DR SB,THEFT,41.837879307,-87.608414956
HZ175191,03/04/2016 03:30:00 PM,078XX S RIDGELAND AVE,BURGLARY,41.752744682,-87.582118465
HZ176738,03/04/2016 02:00:00 PM,007XX W 31ST ST,THEFT,41.838055408,-87.645528134
HZ175534,03/05/2016 12:05:00 PM,078XX S COTTAGE GROVE AVE,OTHER OFFENSE,41.752317165,-87.605229956
HZ176030,03/05/2016 07:53:00 PM,069XX S STONY ISLAND AVE,OTHER OFFENSE,41.768505694,-87.585985225
HZ172486,03/02/2016 09:00:00 PM,056XX S CALUMET AVE,BATTERY,41.792351389,-87.617534802
HZ176983,03/06/2016 04:00:00 PM,015XX E 53RD ST,BATTERY,41.799545853,-87.588874056
HZ177741,03/06/2016 11:00:00 PM,050XX S DR MARTIN LUTHER KING JR DR,ASSAULT,41.802774656,-87.616292828
HZ177489,03/07/2016 12:01:00 AM,026XX S INDIANA AVE,CRIMINAL DAMAGE,41.84528672,-87.622127226
HZ177596,03/07/2016 02:00:00 AM,078XX S MARYLAND AVE,CRIMINAL DAMAGE,41.752279124,-87.603991687
HZ178354,03/07/2016 05:30:00 PM,002XX E 47TH ST,THEFT,41.809316645,-87.620643534
HZ178811,03/08/2016 03:25:00 AM,042XX S VINCENNES AVE,BURGLARY,41.818034026,-87.613851805
HZ180070,03/08/2016 08:25:00 PM,073XX S PHILLIPS AVE,THEFT,41.761727593,-87.564815996
HZ180161,03/09/2016 01:35:00 AM,077XX S MUSKEGON AVE,CRIMINAL DAMAGE,41.754291328,-87.555551889
HZ180718,03/09/2016 12:45:00 PM,052XX S WABASH AVE,WEAPONS VIOLATION,41.799204054,-87.624203012
HZ180742,03/09/2016 01:37:00 PM,071XX S STONY ISLAND AVE,BATTERY,41.764915449,-87.58629814
HZ181322,03/09/2016 10:30:00 PM,074XX S DANTE AVE,BATTERY,41.759747467,-87.589609126
HZ181792,03/09/2016 07:16:00 PM,072XX S BENNETT AVE,OTHER OFFENSE,41.763475674,-87.579306549
HZ181784,03/10/2016 11:03:00 AM,068XX S CALUMET AVE,BURGLARY,41.770338807,-87.616991425
HZ182233,03/10/2016 04:45:00 PM,070XX S CHAPPEL AVE,ASSAULT,41.766809722,-87.575096041
HZ183254,03/11/2016 01:27:00 PM,078XX S EAST END AVE,NARCOTICS,41.752450733,-87.583331276
HZ183718,03/11/2016 06:42:00 PM,065XX S DR MARTIN LUTHER KING JR DR,NARCOTICS,41.775927965,-87.61551777
HZ183938,03/12/2016 12:00:00 AM,074XX S STONY ISLAND AVE,DECEPTIVE PRACTICE,41.759327126,-87.586154041
HZ232528,04/19/2016 02:15:00 PM,053XX S ELLIS AVE,BURGLARY,41.79890117,-87.601292149
HZ232549,04/19/2016 05:50:00 PM,0000X W 69TH ST,CRIMINAL TRESPASS,41.769185486,-87.625732415
HZ234364,04/19/2016 10:00:00 PM,035XX S PRAIRIE AVE,THEFT,41.830493544,-87.62054077
HZ235209,04/19/2016 09:30:00 PM,028XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,41.842695834,-87.61721984
HZ185133,03/12/2016 11:15:00 AM,052XX S WENTWORTH AVE,NARCOTICS,41.799356066,-87.630630416
HZ185957,03/13/2016 05:20:00 PM,006XX E 67TH ST,BATTERY,41.773060554,-87.61032573
HZ186580,03/13/2016 07:00:00 PM,015XX E 65TH ST,MOTOR VEHICLE THEFT,41.776966669,-87.587302151
HZ187220,03/11/2016 09:00:00 AM,074XX S BENNETT AVE,DECEPTIVE PRACTICE,41.759816968,-87.579221099
HZ186604,03/14/2016 10:24:00 AM,028XX E 76TH PL,DECEPTIVE PRACTICE,41.756856019,-87.556587451
HZ186987,03/14/2016 03:40:00 PM,041XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,41.820006933,-87.616889375
HZ187443,03/14/2016 08:40:00 PM,069XX S JEFFERY BLVD,NARCOTICS,41.768920292,-87.576376188
HZ189581,03/16/2016 03:20:00 PM,017XX E 79TH ST,NARCOTICS,41.751527815,-87.582363532
HZ195910,03/15/2016 07:00:00 AM,046XX S LAKE PARK AVE,OTHER OFFENSE,41.810732368,-87.593678161
HZ191418,03/17/2016 08:00:00 AM,052XX S WOODLAWN AVE,BURGLARY,41.800512684,-87.596667382
HZ191460,03/18/2016 12:24:00 AM,001XX E 74TH ST,BATTERY,41.76012012,-87.621136847
HZ191935,03/18/2016 09:00:00 AM,004XX E 45TH ST,BURGLARY,41.813025705,-87.61560259
HZ192062,03/18/2016 01:04:00 PM,035XX S STATE ST,BATTERY,41.829452033,-87.626525766
HZ193210,03/18/2016 02:00:00 AM,0000X E 75TH ST,BATTERY,41.75824512,-87.62369385
HZ233793,04/20/2016 12:30:00 PM,075XX S INDIANA AVE,BURGLARY,41.75734349,-87.61990676
HZ192828,03/19/2016 12:20:00 AM,046XX S VINCENNES AVE,CRIMINAL DAMAGE,41.810659992,-87.613824286
HZ193169,03/19/2016 11:55:00 AM,046XX S VINCENNES AVE,CRIMINAL DAMAGE,41.810659992,-87.613824286
HZ233693,04/20/2016 05:03:00 PM,074XX S HARVARD AVE,ROBBERY,41.759036773,-87.633298885
HZ195850,03/21/2016 04:50:00 PM,003XX W 71ST ST,THEFT,41.765362612,-87.634238147
HZ195103,03/21/2016 03:46:00 AM,059XX S WABASH AVE,THEFT,41.78659482,-87.623879974
HZ234213,04/20/2016 07:00:00 PM,036XX S EMERALD AVE,THEFT,41.82825968,-87.644829462
HZ198070,03/23/2016 12:10:00 PM,048XX S FORRESTVILLE AVE,BURGLARY,41.80683511,-87.612612664
HZ198371,03/23/2016 11:00:00 AM,071XX S ST LAWRENCE AVE,MOTOR VEHICLE THEFT,41.764926972,-87.610406058
HZ198685,03/23/2016 08:09:00 PM,071XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.765253769,-87.615255549
HZ198815,03/23/2016 10:30:00 PM,074XX S HARVARD AVE,OTHER OFFENSE,41.75914656,-87.633301357
HZ201165,03/25/2016 08:08:00 PM,071XX S JEFFERY BLVD,THEFT,41.765039197,-87.57627519
HZ198338,03/23/2016 04:00:00 PM,076XX S COLES AVE,BATTERY,41.756906454,-87.555523979
HZ201812,03/26/2016 11:30:00 AM,076XX S JEFFERY BLVD,CRIMINAL TRESPASS,41.756604794,-87.576095781
HZ202099,03/26/2016 11:48:00 AM,061XX S DR MARTIN LUTHER KING JR DR,THEFT,41.782987366,-87.615692028
HZ202236,03/26/2016 06:20:00 PM,063XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,41.780110888,-87.615617777
HZ202633,03/27/2016 02:00:00 AM,073XX S SOUTH SHORE DR,BATTERY,41.763305308,-87.559870854
HZ199387,03/23/2016 03:10:00 PM,054XX S STATE ST,ASSAULT,41.795868205,-87.625732367
HZ203600,03/28/2016 01:15:00 AM,076XX S ESSEX AVE,ASSAULT,41.756567668,-87.563898997
HZ203978,03/28/2016 11:22:00 AM,042XX S CALUMET AVE,CRIMINAL DAMAGE,41.817702793,-87.618378796
HZ204825,03/28/2016 02:30:00 PM,031XX S GREEN ST,THEFT,41.837566517,-87.647294804
HZ207112,03/28/2016 09:00:00 AM,077XX S RHODES AVE,BURGLARY,41.753867949,-87.611358434
HZ204997,03/29/2016 03:36:00 AM,074XX S COLES AVE,BATTERY,41.761007212,-87.559704193
HZ206423,03/29/2016 09:00:00 AM,064XX S MARYLAND AVE,BATTERY,41.777445647,-87.604634161
HZ207355,03/30/2016 08:02:00 PM,078XX S CREGIER AVE,ROBBERY,41.752909599,-87.580899821
HZ208322,03/30/2016 06:30:00 PM,003XX E GARFIELD BLVD,ROBBERY,41.794794662,-87.61679251
HZ212813,03/13/2016 05:30:00 AM,013XX E 52ND ST,THEFT,41.800951166,-87.594010713
HZ213098,03/30/2016 08:00:00 AM,048XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,41.806790948,-87.616519469
HZ207607,03/31/2016 03:08:00 AM,069XX S PAXTON AVE,BATTERY,41.768857737,-87.571479508
HZ208097,03/31/2016 01:23:00 PM,062XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.781296636,-87.615652218
HZ208448,03/31/2016 05:13:00 PM,014XX E 71ST PL,BATTERY,41.765111467,-87.590287615
HZ208328,03/31/2016 03:55:00 PM,072XX S SOUTH CHICAGO AVE,BATTERY,41.762777923,-87.601263048
HZ209699,04/01/2016 11:00:00 AM,061XX S VERNON AVE,BATTERY,41.783289931,-87.614486024
HZ209887,04/01/2016 06:42:00 PM,066XX S ST LAWRENCE AVE,BATTERY,41.774179593,-87.610661436
HZ234871,04/21/2016 04:20:00 PM,033XX S UNION AVE,DECEPTIVE PRACTICE,41.833900856,-87.643741562
HZ234700,04/21/2016 01:00:00 PM,068XX S STONY ISLAND AVE,THEFT,41.771062488,-87.586270811
HZ234906,04/21/2016 03:45:00 PM,042XX S WABASH AVE,THEFT,41.817354884,-87.624677811
HZ210532,04/02/2016 10:30:00 AM,074XX S VERNON AVE,BATTERY,41.759668964,-87.613914039
HZ210844,04/02/2016 02:00:00 PM,004XX E 62ND ST,ROBBERY,41.78208803,-87.614063137
HZ211139,04/02/2016 08:14:00 PM,061XX S KIMBARK AVE,BATTERY,41.783318153,-87.594708301
HZ213653,04/03/2016 12:01:00 AM,068XX S JEFFERY BLVD,CRIMINAL DAMAGE,41.770687913,-87.576421392
HZ213044,04/04/2016 11:00:00 AM,004XX E 71ST ST,NARCOTICS,41.765722065,-87.614660173
HZ213197,04/04/2016 03:15:00 PM,046XX S EVANS AVE,THEFT,41.810786941,-87.607829151
HZ213700,04/04/2016 08:08:00 PM,050XX S PRINCETON AVE,BATTERY,41.802807643,-87.633207753
HZ214260,04/04/2016 08:30:00 PM,038XX S PARNELL AVE,THEFT,41.824154512,-87.639854405
HZ213897,04/05/2016 08:30:00 AM,069XX S CALUMET AVE,ASSAULT,41.768110068,-87.616931909
HZ214848,04/05/2016 08:45:00 PM,061XX S EBERHART AVE,CRIMINAL DAMAGE,41.783175288,-87.61327001
HZ215687,04/05/2016 03:21:00 PM,061XX S KENWOOD AVE,OTHER OFFENSE,41.783316167,-87.593120705
HZ215810,04/06/2016 04:22:00 PM,067XX S CORNELL AVE,NARCOTICS,41.772347126,-87.585053479
HZ215669,04/06/2016 10:30:00 AM,047XX S WENTWORTH AVE,BATTERY,41.808682769,-87.630898966
HZ220631,03/26/2016 02:00:00 PM,077XX S PHILLIPS AVE,OFFENSE INVOLVING CHILDREN,41.75438557,-87.565072175
HZ216645,04/07/2016 08:30:00 AM,002XX E 60TH ST,DECEPTIVE PRACTICE,41.785632408,-87.620025893
HZ217482,04/07/2016 07:22:00 PM,070XX S MERRILL AVE,INTERFERENCE WITH PUBLIC OFFICER,41.767070786,-87.572658989
HZ217568,04/07/2016 11:30:00 PM,078XX S PHILLIPS AVE,PUBLIC PEACE VIOLATION,41.75310656,-87.565047114
HZ223047,04/01/2016 07:00:00 AM,047XX S EVANS AVE,DECEPTIVE PRACTICE,41.808615911,-87.607780288
HZ151058,02/14/2016 05:05:00 AM,0000X E 36TH PL,CRIMINAL TRESPASS,41.828743353,-87.624192644
HZ152139,02/14/2016 11:00:00 PM,0000X W 40TH PL,MOTOR VEHICLE THEFT,41.820409263,-87.627799195
HZ235876,04/22/2016 11:15:00 AM,076XX S SOUTH CHICAGO AVE,NARCOTICS,41.756550472,-87.592600053
HZ152167,02/15/2016 10:50:00 AM,078XX S INDIANA AVE,ASSAULT,41.751955704,-87.619790515
HZ152206,02/15/2016 11:15:00 AM,020XX E 71ST ST,NARCOTICS,41.766249677,-87.57548019
HZ152455,02/15/2016 02:40:00 PM,005XX W 76TH ST,OTHER OFFENSE,41.756176387,-87.638134804
HZ237039,04/23/2016 11:08:00 AM,068XX S ST LAWRENCE AVE,PUBLIC PEACE VIOLATION,41.770688154,-87.610550326
HZ237828,04/24/2016 12:50:00 AM,027XX S DEARBORN ST,BATTERY,41.844000177,-87.628442902
HZ238151,04/24/2016 09:43:00 AM,051XX S MICHIGAN AVE,DECEPTIVE PRACTICE,41.800865552,-87.622622313
HZ238400,04/24/2016 02:40:00 PM,023XX E 67TH ST,ASSAULT,41.773533523,-87.568927634
HZ238879,04/24/2016 11:49:00 PM,072XX S LANGLEY AVE,BATTERY,41.763498212,-87.607955263
HZ239189,04/24/2016 06:00:00 PM,041XX S LAKE PARK AVE,THEFT,41.819847428,-87.600738128
HZ241882,04/06/2016 01:00:00 PM,048XX S DORCHESTER AVE,DECEPTIVE PRACTICE,41.80708496,-87.591933846
HZ243039,04/20/2016 10:30:00 PM,069XX S STONY ISLAND AVE,ASSAULT,41.769045609,-87.586297878
HZ243150,04/23/2016 04:23:00 AM,067XX S LAFAYETTE AVE,ASSAULT,41.77254533,-87.626758613
HZ239659,04/25/2016 03:15:00 PM,067XX S JEFFERY BLVD,BATTERY,41.772812361,-87.576477067
HZ240195,04/25/2016 08:01:00 PM,078XX S DR MARTIN LUTHER KING JR DR,NARCOTICS,41.75199979,-87.614974513
HZ241633,04/27/2016 12:05:00 AM,064XX S KENWOOD AVE,BATTERY,41.777961373,-87.593013639
HZ242356,04/27/2016 03:35:00 PM,065XX S CHAMPLAIN AVE,ASSAULT,41.77587085,-87.609476619
HZ243212,04/28/2016 07:20:00 AM,0000X W ROOT ST,THEFT,41.819192605,-87.626752323
HZ243237,04/28/2016 02:00:00 AM,053XX S HYDE PARK BLVD,MOTOR VEHICLE THEFT,41.799204348,-87.584044296
HZ246066,04/28/2016 11:30:00 PM,069XX S YALE AVE,MOTOR VEHICLE THEFT,41.768040941,-87.631071239
HZ245025,04/29/2016 04:10:00 PM,005XX W 28TH ST,THEFT,41.843584441,-87.640396981
HZ244751,04/29/2016 12:50:00 PM,074XX S WENTWORTH AVE,ROBBERY,41.759294306,-87.62963456
HZ240384,04/26/2016 03:16:00 AM,004XX W 76TH ST,WEAPONS VIOLATION,41.75622952,-87.636034176
HZ223488,04/11/2016 07:30:00 AM,009XX E 62ND ST,BURGLARY,41.782263947,-87.602368711
HZ247276,05/01/2016 03:30:00 PM,072XX S STONY ISLAND AVE,THEFT,41.764004198,-87.586275721
HZ247341,05/01/2016 04:20:00 PM,071XX S VERNON AVE,BURGLARY,41.765218761,-87.614046316
HZ247739,05/01/2016 11:35:00 PM,002XX W 47TH ST,ASSAULT,41.809092623,-87.632853216
HZ251968,04/19/2016 06:00:00 PM,076XX S CONSTANCE AVE,THEFT,41.756302295,-87.579757023
HZ252332,04/29/2016 10:00:00 AM,040XX S PRAIRIE AVE,THEFT,41.821441875,-87.619925765
HZ247904,05/02/2016 12:01:00 AM,073XX S CALUMET AVE,THEFT,41.761108322,-87.616764221
HZ251286,05/02/2016 07:00:00 PM,050XX S DREXEL BLVD,BATTERY,41.803318702,-87.603761575
HZ249193,05/03/2016 04:02:00 AM,007XX E 75TH ST,BURGLARY,41.758568942,-87.606137886
HZ288204,06/01/2016 12:01:00 AM,065XX S PROMONTORY DR,NARCOTICS,41.776392031,-87.570422478
HZ290170,06/02/2016 11:15:00 AM,072XX S CONSTANCE AVE,CRIMINAL DAMAGE,41.763011623,-87.580521563
HZ290299,06/02/2016 11:30:00 AM,043XX S ELLIS AVE,THEFT,41.81641591,-87.601844755
HZ290393,06/02/2016 01:30:00 PM,010XX W 32ND PL,ASSAULT,41.835244025,-87.65268812
HZ291375,06/02/2016 04:00:00 PM,027XX S ELEANOR ST,BURGLARY,41.844246787,-87.660875986
HZ291361,06/03/2016 04:52:00 AM,008XX E 79TH ST,CRIMINAL DAMAGE,41.751291477,-87.604904392
HZ293352,06/03/2016 01:00:00 PM,035XX S INDIANA AVE,OTHER OFFENSE,41.830701415,-87.621756659
HZ294949,06/05/2016 08:02:00 PM,068XX S ST LAWRENCE AVE,OTHER OFFENSE,41.770482301,-87.610545306
HZ297456,06/05/2016 03:00:00 PM,069XX S INDIANA AVE,BURGLARY,41.768676487,-87.620195433
HZ295205,06/06/2016 01:45:00 AM,073XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.760988672,-87.615182149
HZ295198,06/06/2016 01:30:00 AM,033XX S CARPENTER ST,CRIMINAL DAMAGE,41.833710146,-87.652253031
HZ295405,06/06/2016 07:58:00 AM,0000X E 60TH ST,ROBBERY,41.785542935,-87.624635908
HZ295527,06/06/2016 10:30:00 AM,068XX S RIDGELAND AVE,BATTERY,41.771002776,-87.582583655
HZ296611,06/06/2016 10:40:00 PM,076XX S EAST END AVE,BATTERY,41.75620279,-87.583423198
HZ296598,06/06/2016 11:21:00 PM,068XX S ANTHONY AVE,ROBBERY,41.770267331,-87.614774403
HZ296749,06/06/2016 05:00:00 PM,041XX S PRAIRIE AVE,CRIMINAL TRESPASS,41.819446427,-87.619867204
HZ297219,06/07/2016 12:45:00 PM,068XX S STONY ISLAND AVE,NARCOTICS,41.770988374,-87.586268005
HZ297599,06/07/2016 03:41:00 PM,068XX S MICHIGAN AVE,CRIMINAL DAMAGE,41.77058017,-87.621827639
HZ297530,06/07/2016 04:00:00 PM,041XX S ST LAWRENCE AVE,CRIMINAL DAMAGE,41.820087523,-87.611789046
HZ298368,06/07/2016 05:30:00 PM,027XX S INDIANA AVE,CRIMINAL TRESPASS,41.843892459,-87.622098627
HZ298293,06/08/2016 09:00:00 AM,076XX S SOUTH CHICAGO AVE,THEFT,41.756550472,-87.592600053
HZ298634,06/08/2016 01:00:00 PM,072XX S VERNON AVE,BATTERY,41.763355055,-87.613993823
HZ302096,06/08/2016 03:49:00 AM,022XX S WENTWORTH AVE,ROBBERY,41.85268013,-87.632007113
HZ305489,05/23/2016 12:00:00 PM,053XX S MARYLAND AVE,ASSAULT,41.797860683,-87.605114405
HZ301374,06/09/2016 04:30:00 PM,005XX W PERSHING RD,MOTOR VEHICLE THEFT,41.823533751,-87.640216982
HZ305898,06/09/2016 06:00:00 PM,077XX S STATE ST,BURGLARY,41.754137211,-87.624633337
HZ302009,06/10/2016 05:00:00 PM,073XX S GREENWOOD AVE,THEFT,41.761866293,-87.598172537
HZ388752,08/12/2016 10:05:00 AM,055XX S DR MARTIN LUTHER KING JR DR,THEFT,41.794344947,-87.615968735
HZ302469,06/11/2016 03:45:00 AM,076XX S STEWART AVE,CRIMINAL DAMAGE,41.755797128,-87.634426259
HZ302491,06/11/2016 04:00:00 AM,045XX S DREXEL BLVD,BATTERY,41.812244589,-87.604430616
HZ303268,06/11/2016 04:45:00 PM,067XX S CONSTANCE AVE,CRIMINAL DAMAGE,41.772877757,-87.580164253
HZ303843,06/12/2016 03:00:00 AM,059XX S WABASH AVE,BATTERY,41.786932412,-87.623887252
HZ303868,06/12/2016 04:15:00 AM,046XX S WABASH AVE,ASSAULT,41.81061931,-87.624495288
HZ304727,06/12/2016 06:18:00 PM,078XX S DOBSON AVE,NARCOTICS,41.752624351,-87.59916489
HZ304674,06/12/2016 06:00:00 PM,076XX S DREXEL AVE,BATTERY,41.756163441,-87.602873862
HZ304930,06/12/2016 10:35:00 PM,056XX S MICHIGAN AVE,THEFT,41.791920506,-87.622391101
HZ304373,06/12/2016 12:45:00 PM,078XX S PHILLIPS AVE,BURGLARY,41.752810125,-87.565039655
HZ304247,06/12/2016 12:00:00 PM,078XX S GREENWOOD AVE,BATTERY,41.752654988,-87.597947824
HZ238036,04/24/2016 08:15:00 AM,073XX S KENWOOD AVE,ASSAULT,41.761777879,-87.592100096
HZ305046,06/13/2016 01:15:00 AM,071XX S CYRIL AVE,BATTERY,41.764802087,-87.576941433
HZ308435,06/13/2016 09:00:00 PM,056XX S WABASH AVE,CRIMINAL TRESPASS,41.792155609,-87.624020346
HZ310273,06/13/2016 01:00:00 PM,042XX S WELLS ST,OTHER OFFENSE,41.817583306,-87.632386508
HZ308112,06/15/2016 04:30:00 AM,055XX S STATE ST,ROBBERY,41.793935909,-87.625680278
HZ309040,06/15/2016 04:50:00 PM,075XX S EXCHANGE AVE,INTERFERENCE WITH PUBLIC OFFICER,41.758418589,-87.559592344
HZ309000,06/15/2016 04:28:00 PM,064XX S STONY ISLAND AVE,PUBLIC PEACE VIOLATION,41.778247855,-87.586396399
HZ309244,06/15/2016 08:04:00 PM,026XX S CALUMET AVE,BATTERY,41.845252683,-87.61885388
HZ310302,06/15/2016 11:30:00 PM,013XX E 55TH ST,ROBBERY,41.795112967,-87.59298498
HZ310075,06/16/2016 11:00:00 AM,058XX S DR MARTIN LUTHER KING JR DR,ASSAULT,41.788597534,-87.615827471
HZ310690,06/16/2016 10:00:00 AM,025XX E 79TH ST,THEFT,41.75177145,-87.563201339
HZ310853,06/16/2016 11:20:00 PM,0000X W 79TH ST,CRIMINAL DAMAGE,41.750940757,-87.625185222
HZ311418,06/17/2016 11:45:00 AM,078XX S COLFAX AVE,PUBLIC PEACE VIOLATION,41.753156284,-87.561411005
HZ313270,06/17/2016 11:00:00 PM,046XX S LAKE PARK AVE,OTHER OFFENSE,41.810732368,-87.593678161
HZ312415,06/18/2016 01:05:00 AM,056XX S CALUMET AVE,BATTERY,41.792107119,-87.617530185
HZ313039,06/18/2016 01:18:00 PM,008XX E 38TH ST,CRIMINAL DAMAGE,41.826238231,-87.607126391
HZ316778,06/18/2016 06:17:00 PM,031XX S PRAIRIE AVE,OTHER OFFENSE,41.837436988,-87.62061418
HZ313838,06/19/2016 02:56:00 AM,070XX S CHAPPEL AVE,NARCOTICS,41.766779538,-87.575096396
HZ314735,06/19/2016 07:10:00 PM,026XX E 76TH ST,BURGLARY,41.757241977,-87.560918572
HZ315267,06/20/2016 04:00:00 AM,078XX S CHAMPLAIN AVE,MOTOR VEHICLE THEFT,41.752532509,-87.608906986
HZ315871,06/20/2016 02:45:00 PM,002XX W 37TH ST,ASSAULT,41.827272785,-87.633198086
HZ316424,06/19/2016 05:00:00 PM,056XX S WABASH AVE,BURGLARY,41.792361461,-87.62402541
HZ320143,06/20/2016 07:00:00 PM,072XX S CHAMPLAIN AVE,BURGLARY,41.763033787,-87.60915908
HZ320475,06/20/2016 05:30:00 PM,051XX S HYDE PARK BLVD,THEFT,41.801307936,-87.584690956
HZ316599,06/21/2016 12:30:00 AM,057XX S LAKE SHORE DR,BATTERY,41.791160785,-87.579836586
HZ316641,06/21/2016 03:05:00 AM,054XX S WELLS ST,BATTERY,41.794670403,-87.631785431
HZ317734,06/21/2016 06:14:00 PM,008XX E 65TH ST,ASSAULT,41.776797342,-87.604098905
HZ319333,06/21/2016 09:00:00 AM,075XX S SOUTH SHORE DR,THEFT,41.76015578,-87.556752911
HZ318834,06/22/2016 01:35:00 PM,047XX S COTTAGE GROVE AVE,THEFT,41.808981361,-87.606551046
HZ320163,06/22/2016 12:12:00 PM,031XX S CANAL ST,DECEPTIVE PRACTICE,41.837237317,-87.637731576
HZ326651,06/21/2016 08:30:00 AM,008XX E 46TH ST,THEFT,41.811362297,-87.605944563
HZ320088,06/23/2016 12:00:00 PM,030XX S ARCHER AVE,BATTERY,41.839754776,-87.661873492
HZ322704,06/23/2016 04:00:00 PM,064XX S DREXEL AVE,BURGLARY,41.777988545,-87.602831551
HZ320994,06/24/2016 02:30:00 AM,076XX S COLES AVE,ROBBERY,41.756859457,-87.555473236
HZ321873,06/24/2016 05:15:00 PM,030XX S CANAL ST,BATTERY,41.839468745,-87.637788145
HZ321990,06/24/2016 06:05:00 PM,040XX S INDIANA AVE,ROBBERY,41.821536978,-87.621542622
HZ322812,06/24/2016 09:00:00 PM,065XX S WOODLAWN AVE,THEFT,41.776145311,-87.596103091
HZ323721,06/24/2016 02:00:00 PM,067XX S WENTWORTH AVE,ASSAULT,41.772252026,-87.629943858
HZ266592,05/16/2016 11:20:00 AM,005XX E 32ND ST,OTHER OFFENSE,41.836069707,-87.613033345
HZ322472,06/25/2016 02:27:00 AM,014XX E 53RD ST,BATTERY,41.799533674,-87.589959771
HZ322947,06/25/2016 01:00:00 PM,041XX S LAKE SHORE DR SB,ROBBERY,41.819732767,-87.59739731
HZ322691,06/25/2016 09:15:00 AM,069XX S PRAIRIE AVE,THEFT,41.768095371,-87.618537645
HZ323880,06/26/2016 05:30:00 AM,077XX S CHAMPLAIN AVE,BATTERY,41.754206761,-87.608943133
HZ324261,06/26/2016 02:00:00 AM,076XX S STEWART AVE,THEFT,41.755797128,-87.634426259
HZ324282,06/26/2016 01:36:00 PM,008XX E 42ND PL,ASSAULT,41.817959498,-87.605506727
HZ308443,06/13/2016 02:50:00 PM,045XX S MICHIGAN AVE,OTHER OFFENSE,41.812525099,-87.622922617
HZ317788,06/21/2016 07:32:00 PM,002XX E GARFIELD BLVD,CRIMINAL DAMAGE,41.794402412,-87.620350386
HZ326666,06/27/2016 08:00:00 AM,022XX E 71ST ST,BURGLARY,41.766298808,-87.570050881
HZ327897,06/29/2016 05:20:00 AM,063XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.779150271,-87.615599158
HZ328124,06/29/2016 10:10:00 AM,027XX S WABASH AVE,ASSAULT,41.844043878,-87.625286201
HZ328872,06/29/2016 06:40:00 PM,038XX S LAKE PARK AVE,CRIMINAL DAMAGE,41.826015998,-87.604534925
HZ328972,06/29/2016 08:01:00 PM,043XX S DEARBORN ST,BATTERY,41.815272034,-87.627360349
HZ329183,06/29/2016 11:25:00 PM,002XX W 37TH PL,ROBBERY,41.826360586,-87.633017237
HZ330413,06/29/2016 09:00:00 PM,015XX E HARPER CT,THEFT,41.800302005,-87.58867826
HZ329781,06/30/2016 12:45:00 PM,054XX S MICHIGAN AVE,BATTERY,41.795927816,-87.622497173
HZ330717,07/01/2016 12:57:00 AM,057XX S LAKE SHORE DR,NARCOTICS,41.791160785,-87.579836586
HZ331748,07/01/2016 06:03:00 PM,003XX W 35TH ST,CRIMINAL TRESPASS,41.830890037,-87.635503335
HZ331945,07/01/2016 09:40:00 PM,053XX S KIMBARK AVE,OTHER OFFENSE,41.798852734,-87.595010373
HZ330336,06/30/2016 05:56:00 PM,073XX S DORCHESTER AVE,BATTERY,41.761915482,-87.590885285
HZ332634,07/02/2016 12:40:00 PM,007XX E 61ST ST,BATTERY,41.784017858,-87.608046681
HZ332711,07/02/2016 01:30:00 PM,042XX S MICHIGAN AVE,THEFT,41.817487562,-87.623054868
HZ333525,07/03/2016 06:00:00 AM,007XX W 35TH ST,ASSAULT,41.830774069,-87.644020964
HZ334022,07/03/2016 01:45:00 AM,074XX S MICHIGAN AVE,ROBBERY,41.759658977,-87.621563446
HZ334047,07/03/2016 01:30:00 PM,076XX S KINGSTON AVE,CRIMINAL DAMAGE,41.756746185,-87.562691066
HZ334178,07/03/2016 06:36:00 PM,023XX E 73RD ST,BATTERY,41.762611072,-87.567253924
HZ338059,06/30/2016 10:00:00 AM,033XX S LOWE AVE,DECEPTIVE PRACTICE,41.833580643,-87.642515741
HZ335293,07/04/2016 05:43:00 PM,052XX S DREXEL AVE,BATTERY,41.799875696,-87.603928993
HZ336762,07/04/2016 09:00:00 PM,070XX S SOUTH SHORE DR,THEFT,41.76677448,-87.566478603
HZ336131,07/05/2016 02:30:00 AM,002XX W 23RD ST,THEFT,41.850954831,-87.633494128
HZ337796,07/06/2016 10:48:00 AM,048XX S DREXEL BLVD,BATTERY,41.807067906,-87.603843747
HZ344430,07/02/2016 10:00:00 AM,022XX E 70TH ST,DECEPTIVE PRACTICE,41.76803366,-87.570946737
